Flow*,P,Q,P | G(Q),tentative eval,root detection,composing flowpipe,Total
59.022459983825684,16.644347190856934,68.28328013420105,85.03781580924988,2.6986804008483887,4.067675590515137,73.50965738296509,144.22333669662476
61.530237913131714,15.210498332977295,75.47074794769287,90.76599383354187,2.8380086421966553,4.323853969573975,79.00027799606323,152.43574595451355
64.78453087806702,14.791831970214844,67.98637080192566,82.88620829582214,2.6065826416015625,3.994825839996338,72.22265028953552,147.82498478889465
65.87766695022583,14.144095182418823,69.06472086906433,83.30106496810913,2.5885727405548096,3.9470291137695312,72.37649273872375,149.3079059123993
63.47331261634827,13.29795241355896,66.20412158966064,79.59067487716675,2.374281167984009,3.811826229095459,69.38078546524048,143.22764205932617
68.95957255363464,14.450286149978638,71.60612106323242,86.16411066055298,2.2989864349365234,4.075551748275757,75.47483825683594,155.27106761932373
54.50349402427673,13.737501621246338,62.88301944732666,76.69877696037292,2.209944009780884,3.670926570892334,66.56864619255066,131.32139134407043
59.809842109680176,16.10783314704895,64.88387799263,81.0868604183197,2.6000030040740967,3.849374771118164,70.07706809043884,141.04295086860657
59.12664985656738,17.322288990020752,71.5602502822876,88.99287295341492,2.7626163959503174,4.293878793716431,76.52118396759033,148.24140429496765
61.25485062599182,15.689845561981201,69.43575143814087,85.22725057601929,2.484646797180176,4.07228946685791,74.21694755554199,146.6302993297577
69.7819676399231,13.128655195236206,72.94078707695007,88.91217994689941,2.977616786956787,4.160998821258545,74.67239761352539,158.84007740020752
69.20761203765869,13.238512754440308,66.49888730049133,82.19431352615356,2.7082574367523193,3.814648151397705,69.05444860458374,151.5698380470276
69.19402432441711,13.037580966949463,65.28442931175232,80.84813117980957,2.481226921081543,3.6991419792175293,68.122394323349,150.18354606628418
66.36193084716797,11.418108940124512,64.36240363121033,75.87257099151611,2.6408839225769043,3.6071269512176514,65.92225217819214,142.37918615341187
76.39079022407532,19.47334361076355,73.4244384765625,93.0032901763916,2.9919400215148926,4.803701400756836,79.13869643211365,169.6449282169342
74.96207284927368,17.574591636657715,76.1732861995697,93.84342360496521,2.9055778980255127,4.879011869430542,81.0592315196991,169.02183842658997
83.04150080680847,15.575244188308716,85.33251762390137,101.01360535621643,2.978317975997925,5.306037902832031,87.53245949745178,184.26679801940918
51.63744282722473,17.278677701950073,59.84580206871033,77.21840524673462,2.250671148300171,3.6793935298919678,66.65348958969116,128.98360514640808
58.02692246437073,10.003110408782959,52.97624111175537,63.06129717826843,1.9589662551879883,3.015857458114624,54.90798878669739,121.21200251579285
71.85571908950806,9.265563726425171,50.44835019111633,59.78793525695801,1.9118239879608154,2.8891117572784424,51.971832036972046,131.8186695575714
