Flow*,P,Q,P | F(Q),tentative eval,root detection,composing flowpipe,Total
43.23884105682373,0.11623787879943848,15.064007759094238,15.234620809555054,0.3911471366882324,0.005172014236450195,14.160571098327637,58.53849935531616
43.162367820739746,0.11527490615844727,15.043874502182007,15.21345067024231,0.39055299758911133,0.0051479339599609375,14.141364812850952,58.44536018371582
43.07197022438049,0.12774968147277832,15.039040565490723,16.912087440490723,0.39037632942199707,0.005179882049560547,14.143018007278442,60.048226833343506
49.17784309387207,0.19442200660705566,16.95985770225525,17.211039781570435,0.46606922149658203,0.005802631378173828,15.80065107345581,66.6085274219513
84.09428644180298,0.15150022506713867,16.58015251159668,16.788124084472656,0.45778775215148926,0.005651235580444336,15.478325128555298,101.12714672088623
48.28514909744263,0.13407135009765625,16.53713369369507,16.729305267333984,0.45311737060546875,0.005659580230712891,15.445305109024048,65.20581102371216
45.91003441810608,0.13588881492614746,16.644530296325684,16.838797092437744,0.4227440357208252,0.005487680435180664,15.653503894805908,62.92222452163696
45.255449533462524,0.11919784545898438,15.269515752792358,15.445782899856567,0.38402748107910156,0.005087137222290039,14.364562034606934,60.812825202941895
43.69324231147766,0.1156623363494873,15.110124826431274,15.280058145523071,0.39195728302001953,0.0053484439849853516,14.203228235244751,59.045037031173706
43.08381772041321,0.11554646492004395,15.050802946090698,15.21994423866272,0.39125537872314453,0.005246162414550781,14.14697813987732,58.373536109924316
43.06547141075134,0.11505436897277832,15.038724660873413,15.207547426223755,0.39042067527770996,0.005156517028808594,14.136106967926025,58.34197187423706
43.24454355239868,0.29385852813720703,15.043132543563843,17.966431856155396,0.39431118965148926,0.005169391632080078,14.282273054122925,61.28305649757385
51.82261633872986,0.13581204414367676,17.238648176193237,17.431503772735596,0.4767313003540039,0.005652189254760742,16.097748517990112,69.51875567436218
91.50489115715027,0.160996675491333,16.866833686828613,17.084519147872925,0.47167491912841797,0.005742788314819336,15.726874351501465,108.87239742279053
72.84905576705933,0.18611550331115723,17.564631462097168,17.807003498077393,0.4787435531616211,0.0057430267333984375,16.40493369102478,90.9218475818634
53.91576170921326,0.1466684341430664,16.928465843200684,17.132332801818848,0.45607852935791016,0.005686759948730469,15.811923265457153,71.26284146308899
48.31871795654297,0.13419198989868164,17.13045573234558,17.320670127868652,0.42432522773742676,0.005513668060302734,16.124289751052856,65.82137107849121
45.677425384521484,0.11688470840454102,15.14818024635315,15.319536447525024,0.38113975524902344,0.005121946334838867,14.247663021087646,61.10182023048401
43.138694763183594,0.11517930030822754,15.045533657073975,15.214519023895264,0.39162755012512207,0.005341291427612305,14.141549348831177,58.42313265800476
43.1040997505188,0.11590409278869629,15.070771932601929,15.24116063117981,0.3920128345489502,0.0053484439849853516,14.16447114944458,58.414700746536255
43.06830883026123,0.11604785919189453,15.043949365615845,15.213606119155884,0.39120936393737793,0.005206584930419922,14.140607595443726,58.347875356674194
43.08745360374451,0.13302183151245117,17.792500495910645,21.161719799041748,0.448655366897583,0.0056858062744140625,16.5608229637146,64.31995892524719
54.93712878227234,0.12928414344787598,16.883678197860718,17.068143367767334,0.48099732398986816,0.0056726932525634766,15.756232976913452,72.2400290966034
60.242997884750366,0.250899076461792,17.216948986053467,17.523837089538574,0.4906494617462158,0.005670309066772461,16.055542707443237,78.12399315834045
85.42654871940613,0.15063858032226562,17.751610279083252,17.957850694656372,0.47699522972106934,0.0057637691497802734,16.573633432388306,103.64421367645264
61.072717905044556,0.14510130882263184,17.405075073242188,17.60601282119751,0.4638941287994385,0.005742073059082031,16.258448362350464,78.9071204662323
53.25314950942993,0.13586831092834473,17.169267654418945,17.361337661743164,0.44556760787963867,0.005663633346557617,16.0795681476593,70.8112998008728
46.8632333278656,0.12001252174377441,15.418140172958374,15.600326538085938,0.39171361923217773,0.0051555633544921875,14.500555276870728,62.6191611289978
43.536954402923584,0.11501932144165039,15.051455736160278,15.220864057540894,0.39166927337646484,0.0052945613861083984,14.14729118347168,58.83196234703064
43.11578059196472,0.11606764793395996,15.060951709747314,15.232036113739014,0.3915088176727295,0.0054340362548828125,14.156404256820679,58.41854524612427
43.285794496536255,0.6353268623352051,15.100332260131836,19.19900608062744,0.3915228843688965,0.0053577423095703125,14.699633598327637,62.549696922302246
56.82732152938843,0.1454334259033203,18.691171407699585,18.891692399978638,0.5115871429443359,0.005797147750854492,17.471972942352295,75.9975311756134
57.853172302246094,0.14801454544067383,18.93609309196472,19.13992714881897,0.5192763805389404,0.006219148635864258,17.512650728225708,77.29728627204895
91.19704008102417,0.14765715599060059,17.946972370147705,18.15003752708435,0.4887220859527588,0.0057528018951416016,16.78216290473938,109.62145614624023
77.86087155342102,0.14147353172302246,17.59685230255127,17.79347276687622,0.47399377822875977,0.005686283111572266,16.44929528236389,95.92569351196289
49.757155418395996,0.13814926147460938,17.126006841659546,17.31867003440857,0.46659398078918457,0.005707263946533203,16.01142644882202,67.2861156463623
46.52632260322571,0.11714863777160645,15.34618330001831,15.517951488494873,0.4045398235321045,0.005269289016723633,14.410465240478516,62.18481707572937
43.30067157745361,0.11763572692871094,15.072670698165894,15.244166135787964,0.39205169677734375,0.005382061004638672,14.168192386627197,58.61492204666138
43.1562819480896,0.11510968208312988,15.058011531829834,15.22774076461792,0.3911926746368408,0.005395412445068359,14.153106927871704,58.44793915748596
43.136271953582764,0.14904284477233887,15.046156167984009,19.325685501098633,0.39179205894470215,0.005351066589355469,14.169965028762817,62.532639503479004
