Flow*,P,Q,P | G(Q),tentative eval,root detection,composing flowpipe,Total
52.0377402305603,12.544315576553345,78.65708875656128,92.23206448554993,3.4549331665039062,4.858967542648315,79.73995566368103,144.42286276817322
51.37514519691467,10.75392770767212,66.28049731254578,77.11027789115906,2.831357717514038,3.7642369270324707,68.00595664978027,128.60789465904236
54.747923612594604,10.425753355026245,58.642539978027344,69.15570092201233,2.861884832382202,3.3124759197235107,60.60617542266846,124.01918888092041
66.71814584732056,10.680458784103394,56.09312558174133,66.86391377449036,2.7955832481384277,3.255903959274292,58.56059670448303,133.7351577281952
57.68909931182861,10.508206605911255,55.692532539367676,66.2843828201294,2.688140630722046,3.23945689201355,58.13856911659241,124.10042190551758
61.79896855354309,10.69115161895752,56.94386386871338,67.72454619407654,2.7690470218658447,3.302588939666748,59.35351514816284,129.6823582649231
63.486841917037964,10.620808601379395,56.197311878204346,66.90841007232666,2.833085060119629,3.3214211463928223,58.506237268447876,130.539204120636
49.13616442680359,10.752277374267578,55.916454553604126,66.75826358795166,2.765876531600952,3.239020586013794,58.436994791030884,116.00770449638367
50.41265249252319,10.612637519836426,60.61425065994263,71.31590247154236,2.705148220062256,3.4573264122009277,62.840851068496704,121.8599865436554
50.37821340560913,13.945331573486328,56.23949575424194,70.28321552276611,3.1558306217193604,3.4051384925842285,61.380608558654785,120.81820487976074
50.035889863967896,10.560178279876709,56.232455015182495,66.87949776649475,2.8104846477508545,3.2271766662597656,58.607085943222046,117.0512797832489
54.854137659072876,10.626392126083374,56.7327766418457,67.45315265655518,2.8691670894622803,3.2737042903900146,58.901517152786255,122.43230509757996
54.137622594833374,14.662647724151611,58.54290747642517,73.2863700389862,3.2461016178131104,3.542590379714966,64.06877136230469,127.56800818443298
49.24384665489197,11.06563138961792,55.64103937149048,66.78915405273438,2.734938144683838,3.2395544052124023,58.5738730430603,116.15732955932617
49.05764675140381,10.686108112335205,66.89032554626465,77.66029763221741,2.872187852859497,3.7947487831115723,68.4995481967926,126.85016942024231
56.63023591041565,13.344141960144043,64.59985375404358,78.04306292533875,3.2358827590942383,3.8182175159454346,68.44561004638672,134.82853055000305
50.00770616531372,11.933513879776001,66.12408781051636,78.16457605361938,3.0514259338378906,3.811206579208374,68.74027299880981,128.29501748085022
51.24162769317627,10.331809043884277,55.365790367126465,65.78195834159851,2.605354070663452,3.2119667530059814,57.76433801651001,117.15594291687012
46.73899531364441,9.446237325668335,56.325031995773315,68.92263960838318,2.849614381790161,3.4846391677856445,57.02255702018738,115.7764208316803
44.23475909233093,9.857351779937744,53.29008197784424,63.23487687110901,2.601032257080078,3.055842876434326,55.427217960357666,107.58298349380493
