Flow*,P,Q,P | F(Q),tentative eval,root detection,composing flowpipe,composing atomic,Total
0,102.99776196479797,17.855896472930908,119.71928596496582,275.402991771698,1.4259998798370361,0.011884927749633789,56.799455404281616,76.99759459495544,240.83849668502808
1,107.19426679611206,18.039268732070923,112.98860025405884,262.3085103034973,1.3067502975463867,0.013116598129272461,52.80419158935547,74.61933493614197,238.5350649356842
2,104.10019421577454,19.979917764663696,118.66838574409485,277.53519439697266,1.3448753356933594,0.009358644485473633,56.816447257995605,78.08363747596741,243.01539659500122
3,104.86931824684143,20.720818519592285,116.58470964431763,274.8523659706116,1.6524276733398438,0.009789705276489258,57.844626903533936,75.46813797950745,242.47540926933289
4,109.17718625068665,18.490498304367065,109.31521391868591,255.78866529464722,1.250910758972168,0.00919032096862793,53.5399386882782,70.5351312160492,237.21767401695251
5,106.92618417739868,18.21491003036499,123.11140155792236,282.8909697532654,1.476506233215332,0.012523174285888672,56.664016246795654,80.67973208427429,248.5570764541626
6,104.2593138217926,19.45457410812378,113.43537187576294,266.02652740478516,1.4369606971740723,0.009735822677612305,54.829509258270264,74.31491494178772,237.44151663780212
7,103.79961776733398,21.458954334259033,107.83972096443176,258.78187561035156,1.4408693313598633,0.013133525848388672,55.4320592880249,70.15833926200867,233.35471725463867
8,110.16597151756287,18.794798374176025,105.79247426986694,249.3746418952942,1.2563121318817139,0.009350299835205078,53.1387197971344,67.90282082557678,235.0011019706726
9,106.69390773773193,19.35096025466919,121.97978281974792,282.8567681312561,1.411130428314209,0.013908147811889648,57.400888204574585,80.05017709732056,248.28318619728088
10,104.79928922653198,18.184917449951172,124.30980205535889,285.1850481033325,1.304781198501587,0.00941920280456543,56.914626359939575,81.88371062278748,247.5313949584961
11,103.32954597473145,18.737181186676025,107.36461567878723,252.38988590240479,1.3053512573242188,0.015451431274414062,52.436508893966675,70.22201180458069,229.6802577972412
12,106.23283100128174,18.115212202072144,105.82353281974792,248.07930517196655,1.2735893726348877,0.014044046401977539,52.55068778991699,67.39243125915527,230.4258325099945
13,104.16974520683289,18.667205572128296,121.82490253448486,281.19322204589844,1.366086721420288,0.013554811477661133,55.83184576034546,80.33479404449463,244.90977478027344
14,104.73715448379517,20.70075750350952,116.97703623771667,275.64897537231445,1.5345523357391357,0.01293492317199707,56.547571897506714,77.0751006603241,242.7540202140808
15,103.95352220535278,20.11926031112671,120.94039106369019,282.3237714767456,1.9036939144134521,0.018302202224731445,57.67460584640503,79.06307339668274,245.25289368629456
16,104.1440486907959,18.602312088012695,106.15067195892334,249.71837377548218,1.2581956386566162,0.009106636047363281,53.28191065788269,68.07663202285767,229.14365339279175
17,105.1455328464508,18.422479391098022,128.50123405456543,294.0630373954773,1.4067680835723877,0.017003297805786133,58.852618932724,83.80690050125122,252.366295337677
18,104.6760745048523,19.04225206375122,119.97011208534241,278.25442361831665,1.460585117340088,0.012640237808227539,56.176844358444214,78.93633651733398,243.95224142074585
19,105.53145360946655,17.717285633087158,117.30196452140808,270.2382640838623,1.3604016304016113,0.009386301040649414,54.49711990356445,76.82128834724426,240.83327651023865
20,105.25361251831055,19.376851797103882,107.04249048233032,253.09157991409302,1.429612398147583,0.009190082550048828,54.3765435218811,68.37366151809692,231.99162411689758
21,107.38745379447937,18.57801055908203,113.15381956100464,263.71024990081787,1.4178051948547363,0.014942407608032227,53.1082239151001,74.84073853492737,239.4401741027832
22,110.5358190536499,18.59383535385132,113.38455152511597,264.2142481803894,1.458022117614746,0.015015363693237305,53.01724410057068,75.21949076652527,242.83046698570251
23,104.9577260017395,18.61803889274597,116.34683728218079,270.157190322876,1.3625116348266602,0.012965202331542969,53.549962520599365,77.8214602470398,240.18401312828064
24,108.0018298625946,19.745623350143433,104.53851389884949,248.7776312828064,1.5072369575500488,0.02367544174194336,53.5743453502655,67.00349831581116,232.53535676002502
25,104.44057536125183,17.968458652496338,120.97416305541992,278.14015102386475,1.4627516269683838,0.014037609100341797,55.63058280944824,79.42941617965698,243.68815159797668
26,104.58977699279785,18.136512517929077,119.73997855186462,275.97205686569214,1.400928258895874,0.013950347900390625,54.703275203704834,79.38345980644226,242.74406242370605
27,107.46380281448364,18.970592975616455,122.63032913208008,283.4228849411011,1.4255692958831787,0.012619972229003906,57.41083335876465,80.3801474571228,249.3202669620514
28,104.30294513702393,18.549291849136353,114.20942044258118,265.7326669692993,1.5123417377471924,0.009823322296142578,55.174872159957886,73.80858635902405,237.33839392662048
29,103.20383930206299,17.860029220581055,124.40269899368286,284.7550745010376,1.4474267959594727,0.019195079803466797,55.40389394760132,82.89401745796204,245.72565364837646
