,Flow*,P,Q,Total
masked,103.97231503327687,14.09983406861623,104.65201705296835,223.01137441794077
masked_no_symbolic,104.09625152746837,17.979025061925253,33.949078345298766,156.31969938278198
masked_no_symbolic_no_selective,104.23955949942271,24.378989370663962,43.936009224255876,172.8290177822113
masked_no_selective,105.56801003615061,18.90222351551056,115.83406709829966,240.578914809227
masked_symbolic_low_order,102.21817766825357,12.82965681552887,37.41463570594787,152.73763173421224
unmasked,104.94937433401743,18.82374354203542,281.29911772410077,405.62582116921743
unmasked_no_symbolic,104.19256118138631,25.66802659034729,70.57509180704753,200.72441760698953
masked_reversed,106.45935632387797,14.273736985524495,121.63760710557303,242.64853157997132
unmasked_reversed,106.4825738032659,20.496848209698996,240.93525455792744,368.1871199925741
