,Flow*,P,Q,Total
masked,81.21363898118337,4.205519676208496,52.31978512605031,137.99242344697316
masked_no_symbolic,80.12938551108043,7.359039084116618,16.465557241439818,104.23073336283366
masked_no_symbolic_no_selective,80.54186987876892,11.364032411575318,18.69283912976583,110.86112713019052
masked_no_selective,81.520876455307,9.580814361572266,41.01894235610962,132.38280154069264
masked_symbolic_low_order,81.07861660321554,4.1294168869654335,20.85654187997182,106.32135646343231
unmasked,81.51092499097189,13.780688349405924,188.27394323349,283.8282172679901
unmasked_no_symbolic,80.46065556208292,17.67406853834788,56.042079377174375,154.44804494380952
unmasked_reversed,81.41692871252695,13.595848496754964,199.30169818401336,294.57147380510963
