Flow*,P,Q,P | F(Q),tentative eval,root detection,composing flowpipe,composing atomic,Total
0,106.31754159927368,18.829283237457275,237.63326954841614,513.1244087219238,3.6235222816467285,0.03161478042602539,39.92333269119263,210.03517723083496,363.0231657028198
1,106.13863372802734,19.82584857940674,254.64684915542603,549.183075428009,3.7565901279449463,0.04470992088317871,42.974597215652466,224.70535588264465,380.89829111099243
2,105.21422576904297,20.658447980880737,233.64459872245789,508.7994441986084,3.702655076980591,0.04474759101867676,41.57966732978821,206.30183863639832,359.79594111442566
3,113.17744827270508,20.82155990600586,219.3642647266388,480.589551448822,3.6914427280426025,0.03214406967163086,42.12022161483765,191.364004611969,353.6673674583435
4,107.11304187774658,19.740462064743042,253.93705677986145,547.599335193634,3.656038284301758,0.06228780746459961,41.74872541427612,225.22377395629883,381.0657157897949
5,106.16068434715271,20.908258199691772,251.81649494171143,545.7279839515686,3.6867284774780273,0.04574775695800781,42.94329023361206,222.9888665676117,379.1656959056854
6,106.00160670280457,21.8198983669281,240.56942176818848,524.9804887771606,3.6802868843078613,0.05180954933166504,43.06792163848877,212.61362624168396,368.6355605125427
7,106.24373173713684,20.54118275642395,215.6758749485016,472.6477198600769,3.6692309379577637,0.05083513259887695,41.828582525253296,187.78257632255554,342.71878814697266
8,107.96667289733887,20.07875967025757,244.32450771331787,529.0211706161499,4.031173944473267,0.05516529083251953,40.92170834541321,216.14449286460876,372.6318163871765
9,107.09275436401367,20.27543067932129,252.57550930976868,545.9254002571106,3.6852707862854004,0.03572344779968262,42.02986693382263,224.1113007068634,380.208811044693
10,105.51060962677002,20.973214626312256,250.0861165523529,542.3373160362244,3.7640552520751953,0.04568338394165039,42.59828066825867,221.41619873046875,376.8609519004822
11,106.17061948776245,20.922954320907593,221.77730703353882,485.657958984375,3.859095573425293,0.04826474189758301,42.36101198196411,193.55974173545837,349.1483211517334
12,104.79582405090332,20.220952033996582,241.85266184806824,524.355966091156,3.9297757148742676,0.06047201156616211,41.11476111412048,213.8250274658203,367.1371614933014
13,104.56989073753357,20.41416573524475,245.44646072387695,531.9663715362549,3.605300188064575,0.0644073486328125,41.663414001464844,217.79655933380127,370.715478181839
14,105.86923623085022,20.985676050186157,249.76795649528503,541.7125444412231,3.643364429473877,0.050160884857177734,42.370381355285645,221.8883728981018,376.87271451950073
15,108.91265821456909,21.187591314315796,231.96948790550232,506.55463790893555,3.661022424697876,0.03648829460144043,42.69274139404297,203.83984518051147,362.3836443424225
16,109.02336144447327,20.047519207000732,237.95914912223816,516.2292108535767,3.927830696105957,0.037004709243774414,41.47763228416443,209.6757800579071,367.29897713661194
17,106.63629865646362,20.524585247039795,256.22159576416016,553.7178859710693,3.6185696125030518,0.05583310127258301,42.41866636276245,227.8051996231079,383.6533691883087
18,105.3441116809845,21.201828002929688,246.30281686782837,535.228479385376,3.666020631790161,0.0574030876159668,42.2666711807251,218.85757541656494,373.11950278282166
19,106.17875504493713,20.85267210006714,226.88466715812683,495.69236993789673,3.6561102867126465,0.04324984550476074,41.89634132385254,199.5536081790924,354.18316864967346
20,106.51065826416016,19.69867777824402,240.51661252975464,520.642804145813,3.6568214893341064,0.045850276947021484,41.33672785758972,212.14628767967224,366.996545791626
21,104.99428081512451,20.03358817100525,258.53382635116577,557.3945779800415,3.724464178085327,0.039687156677246094,42.00867295265198,229.7898826599121,383.8560698032379
22,105.11205315589905,20.439132928848267,251.32456302642822,543.7766394615173,3.5869393348693848,0.040322065353393555,41.982972145080566,223.52872276306152,377.19033432006836
23,106.16121816635132,22.219929933547974,230.59701919555664,505.8312702178955,3.731975555419922,0.04914283752441406,42.988988399505615,203.3523530960083,359.227477312088
24,106.93546056747437,19.88918399810791,236.0150852203369,511.99925565719604,3.65755033493042,0.03658890724182129,41.33010244369507,207.86095428466797,363.082035779953
25,104.89041447639465,19.260047435760498,247.6609537601471,534.0433306694031,3.601393699645996,0.037622928619384766,40.55819606781006,219.91177248954773,372.06830739974976
26,105.9751455783844,21.407068014144897,249.06910276412964,541.153030872345,3.901660680770874,0.05859184265136719,42.72991991043091,221.05460381507874,376.71142172813416
27,106.29689931869507,21.49750304222107,245.5526077747345,534.2978873252869,3.9922842979431152,0.04125642776489258,43.067644357681274,217.11582469940186,373.59412264823914
28,107.24505376815796,19.67624044418335,230.19786953926086,499.99810552597046,3.5963661670684814,0.03624320030212402,40.96620798110962,202.33331203460693,357.4345738887787
29,105.9183235168457,19.953784465789795,226.1339294910431,492.4108386039734,3.66451096534729,0.04902338981628418,41.08912682533264,198.7739450931549,352.2682685852051
