Flow*,P,Q,P | F(Q),tentative eval,root detection,composing flowpipe,Total
64.1533043384552,14.022664308547974,59.19163799285889,73.29254055023193,2.4384539127349854,3.637791395187378,63.7354896068573,137.55237889289856
64.06105065345764,14.149540424346924,59.264055252075195,73.50671052932739,2.474034070968628,3.641582489013672,63.83734321594238,137.67235112190247
64.04131078720093,15.229454278945923,59.204508781433105,75.55371737480164,2.5801877975463867,3.7285404205322266,64.46445322036743,139.69675755500793
63.947139739990234,14.169085025787354,59.51414752006531,73.76927995681763,2.504377841949463,3.658738851547241,64.09042406082153,137.82308220863342
64.23994970321655,15.229929685592651,59.14849400520325,75.5137071609497,2.5695724487304688,3.7213759422302246,64.40787172317505,139.85972499847412
64.19897723197937,15.207827806472778,59.12946271896362,75.44301056861877,2.572141170501709,3.723968029022217,64.37175679206848,139.73663020133972
63.96698522567749,15.101478815078735,59.113285541534424,75.62513399124146,2.5378222465515137,3.712360382080078,64.32222318649292,139.69933986663818
76.06916046142578,14.872095346450806,64.12215733528137,79.07672882080078,2.7129905223846436,4.017068386077881,68.48865127563477,155.3978989124298
76.70851230621338,14.819503545761108,63.962395668029785,78.87000632286072,2.695888042449951,4.018567323684692,68.29164910316467,155.8353624343872
76.57875657081604,14.845299482345581,63.921438455581665,78.85338068008423,2.742157459259033,4.008791446685791,68.2407910823822,155.67543578147888
80.73092460632324,15.516753911972046,64.8597183227539,80.45870661735535,2.8332979679107666,4.098672389984131,69.50232934951782,161.44053530693054
67.14091467857361,14.110854387283325,59.57000994682312,73.77583336830139,2.4889047145843506,3.680772542953491,64.06530690193176,141.04420495033264
67.42860198020935,14.206411600112915,59.654287815093994,73.94057559967041,2.504714250564575,3.6872270107269287,64.18530511856079,141.49440741539001
67.45836448669434,14.17720079421997,59.88668966293335,74.14377880096436,2.526139974594116,3.693002700805664,64.36866331100464,141.72865653038025
64.70162677764893,14.025888919830322,59.59733581542969,73.71919584274292,2.4751055240631104,3.6678664684295654,64.07719826698303,138.5145058631897
64.49870586395264,14.0881187915802,59.08660531044006,73.26496744155884,2.450901746749878,3.6350910663604736,63.676918745040894,137.87195253372192
64.34034180641174,14.1448655128479,59.30820393562317,73.5462658405304,2.4848580360412598,3.646761894226074,63.888001680374146,137.99011993408203
70.76716589927673,14.332785367965698,60.10342264175415,74.5220890045166,2.5537819862365723,3.7226736545562744,64.66362237930298,145.46596312522888
63.820839405059814,14.100318431854248,59.179168701171875,73.35416841506958,2.4522907733917236,3.645744800567627,63.782891273498535,137.26861333847046
63.90873098373413,14.06186556816101,59.02773904800415,73.1738052368164,2.443141460418701,3.6249208450317383,63.62027883529663,137.18493628501892
64.1882255077362,14.08848524093628,59.52354669570923,73.68813300132751,2.492459774017334,3.6533303260803223,64.0423972606659,137.97822904586792
65.10072731971741,14.204014778137207,59.707916021347046,73.99063754081726,2.4855751991271973,3.7039153575897217,64.28003358840942,139.19419860839844
63.93002939224243,14.023343563079834,59.395179748535156,73.50826811790466,2.4850034713745117,3.664754629135132,63.88026404380798,137.54408597946167
63.96639847755432,14.093303918838501,59.1691689491272,73.34784078598022,2.443873882293701,3.6399953365325928,63.77117371559143,137.40758609771729
63.84708380699158,14.072008848190308,59.20231008529663,73.35036587715149,2.472015380859375,3.63124418258667,63.73330473899841,137.3071756362915
64.28488254547119,14.135037899017334,59.21102833747864,73.43148827552795,2.4447438716888428,3.638366937637329,63.85229253768921,137.82227230072021
63.68874788284302,14.027082920074463,59.08833599090576,73.20397186279297,2.4277713298797607,3.640695571899414,63.643927335739136,136.98777675628662
64.00764298439026,14.020962953567505,59.375054121017456,73.48019576072693,2.4563236236572266,3.6621296405792236,63.86453986167908,137.5979700088501
63.70630884170532,14.037871837615967,59.10759377479553,73.24345755577087,2.4459962844848633,3.6357839107513428,63.66494011878967,137.04417490959167
63.72856163978577,14.104474306106567,59.18195700645447,73.37428617477417,2.4561574459075928,3.659316062927246,63.771464586257935,137.2048056125641
63.814988136291504,13.998715162277222,58.97897958755493,73.06450700759888,2.447561502456665,3.6243700981140137,63.52794790267944,136.98496747016907
63.4953339099884,14.054985523223877,59.17022919654846,73.3090991973877,2.4615612030029297,3.636291980743408,63.709784269332886,136.9108555316925
63.56200075149536,14.13542652130127,59.216569662094116,73.427659034729,2.4519734382629395,3.660801410675049,63.81175637245178,137.08798837661743
63.58839821815491,14.044707536697388,59.066741943359375,73.1858320236206,2.4463765621185303,3.631765127182007,63.62846302986145,136.87803626060486
63.580395221710205,14.023327350616455,58.9065945148468,73.02197194099426,2.4539389610290527,3.6182303428649902,63.460137128829956,136.7084391117096
63.722044467926025,14.042917013168335,59.21895241737366,73.35462307929993,2.4419689178466797,3.6463892459869385,63.747870445251465,137.17921233177185
63.94936776161194,14.040795803070068,58.93499398231506,73.0630693435669,2.452491521835327,3.6327600479125977,63.49704599380493,137.10565876960754
63.865052461624146,13.028380393981934,58.9075653553009,72.0146791934967,2.3869693279266357,3.590178966522217,62.748396158218384,135.97568655014038
51.55704402923584,10.970979452133179,46.25465941429138,57.28517699241638,1.9090468883514404,2.850961923599243,49.817668199539185,108.91756558418274
51.194413900375366,10.786471128463745,46.44417977333069,57.29053854942322,1.8854894638061523,2.852222442626953,49.988882303237915,108.5579514503479
