,Flow*,P,Q,P | F(Q),tentative eval,root detection,composing flowpipe,composing atomic,Total
0,84.34245347976685,15.517921209335327,62.29208493232727,77.90932631492615,3.289170980453491,5.329886436462402,66.78990316390991,0.019839048385620117,162.4288568496704
1,83.4820191860199,21.538350343704224,58.46192264556885,80.09212923049927,3.1937456130981445,5.24959397315979,69.24566721916199,0.01781940460205078,163.73833894729614
2,85.53713393211365,15.474995613098145,58.10477089881897,73.67710161209106,3.0681750774383545,5.221848726272583,62.99060583114624,0.018792152404785156,159.38740348815918
3,83.56079339981079,18.099814653396606,60.60146975517273,78.80634045600891,3.1265132427215576,5.5230371952056885,67.73188877105713,0.019655227661132812,162.55095195770264
4,84.67864108085632,16.79425287246704,59.904380083084106,76.79902195930481,3.137611150741577,5.178173303604126,65.99733972549438,0.019052743911743164,161.6769437789917
5,84.55077791213989,23.69670820236206,61.60664749145508,85.40488147735596,3.0555691719055176,5.506269693374634,74.32970547676086,0.018678903579711914,170.10947370529175
6,84.38493204116821,14.810175657272339,61.13555645942688,76.05985379219055,3.413560152053833,5.103956937789917,64.9397976398468,0.018723249435424805,160.62176251411438
7,85.58629322052002,14.805634260177612,60.67086172103882,75.57880997657776,3.044809579849243,5.134690284729004,65.03006076812744,0.018955469131469727,161.32297444343567
8,83.26901865005493,15.261255979537964,60.63752555847168,75.99596452713013,3.1893043518066406,5.227026462554932,65.0539243221283,0.01925063133239746,159.42203831672668
9,84.52932810783386,19.21981716156006,58.96944856643677,78.3100004196167,3.2875258922576904,5.245697736740112,67.3162796497345,0.018630504608154297,163.00502562522888
10,84.64668369293213,23.14916968345642,57.40453743934631,80.65215063095093,2.972900152206421,5.328146457672119,69.89726328849792,0.018062591552734375,165.4599187374115
11,85.33594584465027,14.994333028793335,59.67109704017639,74.76154398918152,3.036651134490967,5.26268744468689,64.10789632797241,0.019051074981689453,160.24441361427307
12,83.27698373794556,13.706074953079224,61.24837136268616,75.04891085624695,3.078047513961792,5.1873252391815186,64.40124273300171,0.01920604705810547,158.50425386428833
13,82.65185546875,17.581836700439453,60.086021184921265,77.76802206039429,3.1391959190368652,5.339203119277954,66.87237238883972,0.018474817276000977,160.57569670677185
14,83.85509085655212,20.750427961349487,58.260159730911255,79.1194715499878,3.1557857990264893,5.848811864852905,67.72094511985779,0.018064498901367188,163.17571902275085
15,84.23075866699219,14.366812229156494,59.55322623252869,74.0211877822876,3.2076120376586914,5.226531028747559,63.22848320007324,0.018605947494506836,158.40934491157532
16,84.09983229637146,16.17808198928833,59.20546841621399,75.48259449005127,3.013331890106201,5.042355298995972,65.04686236381531,0.01955723762512207,159.7471959590912
17,85.6066644191742,14.695311069488525,58.494457483291626,73.30015754699707,3.226435661315918,5.065556764602661,62.556416273117065,0.018102169036865234,159.11285996437073
18,84.72440385818481,15.84246301651001,59.54957151412964,75.48411154747009,3.030585289001465,5.132375478744507,64.93575835227966,0.01867198944091797,160.3830509185791
19,83.37332606315613,14.254302501678467,59.97425580024719,74.3489899635315,3.1499037742614746,5.087091445922852,63.7511682510376,0.017971515655517578,157.93294405937195
20,83.78636622428894,14.327569246292114,58.63710021972656,73.06376957893372,3.044555902481079,5.165834426879883,62.50411105155945,0.019411802291870117,157.0055913925171
21,85.66694927215576,17.280507564544678,59.13738012313843,76.53040623664856,3.147822618484497,5.128210067749023,65.85498857498169,0.01777935028076172,162.35841274261475
22,83.0740864276886,19.1445631980896,60.96782326698303,80.2198371887207,3.1582887172698975,5.463231801986694,69.06736493110657,0.019792556762695312,163.45699977874756
23,86.7210762500763,22.936432361602783,60.146520376205444,83.18774199485779,3.1379425525665283,5.417212009429932,72.13594770431519,0.018448591232299805,170.08965277671814
24,83.98895740509033,18.146338939666748,60.33012533187866,78.57027673721313,3.0502357482910156,5.359469175338745,67.70366263389587,0.020102262496948242,162.71272921562195
25,83.47415137290955,17.19126319885254,58.362812995910645,75.65833783149719,3.282419443130493,5.361206293106079,64.61854195594788,0.019208431243896484,159.3130452632904
26,83.90681862831116,18.560302019119263,58.9585440158844,77.61774635314941,3.304166078567505,5.2094244956970215,66.56275868415833,0.01938343048095703,161.69184017181396
27,84.11799669265747,18.14022183418274,59.10207152366638,77.34890413284302,3.156859874725342,5.238043785095215,66.44373750686646,0.01828908920288086,161.63398241996765
28,84.09764766693115,23.487844944000244,59.53674364089966,83.12533211708069,3.419074773788452,5.480112314224243,71.75127363204956,0.020653963088989258,167.41537976264954
29,84.87875437736511,18.916538953781128,59.36155581474304,78.37839794158936,3.224062919616699,5.386681795120239,67.29684257507324,0.017966270446777344,163.4370801448822
30,83.6198148727417,15.38355016708374,59.561405420303345,75.04184126853943,3.10994815826416,5.16657829284668,64.3778293132782,0.020074844360351562,158.85466980934143
31,84.68656754493713,13.72437310218811,58.931190967559814,72.74964213371277,3.0029914379119873,5.081979990005493,62.35553479194641,0.018408775329589844,157.62289309501648
32,82.87097573280334,14.814234495162964,67.25632786750793,82.15882897377014,3.2532100677490234,5.564122676849365,70.7895941734314,0.02142786979675293,165.2007200717926
33,86.16383194923401,18.45804762840271,62.50425148010254,81.08279323577881,3.267770767211914,5.4942944049835205,69.7193853855133,0.0196075439453125,167.41545176506042
34,88.12054824829102,20.674804210662842,62.459787368774414,83.23324060440063,3.319221258163452,5.535403728485107,71.81931376457214,0.019754648208618164,171.51114296913147
35,88.66925239562988,21.194575309753418,60.15864968299866,81.46121191978455,3.21697998046875,5.394302606582642,70.33938813209534,0.019819021224975586,170.310400724411
