,Flow*,P,Q,Total
upfront_symbolic_masked,77.70496785640717,0.429923939704895,24.689692544937134,170.3949325815891
symbolic_masked,78.08325872421264,6.771043968200684,54.428931045532224,139.50722794170142
upfront_masked,82.93489835262298,0.7330384254455566,1.0260200500488281,164.75933253099794
masked,87.8985295534134,9.285413384437561,39.0504091501236,136.4796709423943
upfront_symbolic_unmasked,80.33679106235505,1.8169891119003296,115.9693799495697,265.2461184802931
symbolic_unmasked,78.87051756381989,21.243604207038878,237.7854373216629,338.1235316839884
upfront_unmasked,82.25863091945648,2.8715662956237793,6.4979239225387575,169.4912947925972
unmasked,79.55185024738311,28.578010988235473,67.5332086801529,175.89481231110403
