,Flow*,unpreconditioning,P,Q
masked,87.8985295534134,0.0,9.285413384437561,39.0504091501236
symbolic_masked,78.08325872421264,0.0,6.771043968200684,54.428931045532224
symbolic_unmasked,78.87051756381989,0.0,21.243604207038878,237.7854373216629
unmasked,79.55185024738311,0.0,28.578010988235473,67.5332086801529
upfront_masked,82.93489835262298,79.82735104560852,0.7330384254455566,1.0260200500488281
upfront_symbolic_masked,77.70496785640717,67.3419911623001,0.429923939704895,24.689692544937134
upfront_symbolic_unmasked,80.33679106235505,66.90582013130188,1.8169891119003296,115.9693799495697
upfront_unmasked,82.25863091945648,77.62967109680176,2.8715662956237793,6.4979239225387575
