Depth	Unmasked Time (sec)	Masked Time (sec)
0	3.1834864120028215	3.152071563003119
1	14.275795516005019	3.1423202119913185
2	31.431155572005082	3.6631428569962736
3	88.28677025200159	4.316595715004951
4	172.83145265601343	5.051804779010126
5	654.9451604159985	5.8974740319972625
